"Comment","Designator","Footprint","LCSC Part #"
"100µ","C1","",""
"22µ tantalium","C2","",""
"200mA MT","F1","",""
"550mA MT","F2","",""
"IO","J1","",""
"ARJM11C7-114-BA-EW2","J2","",""
"Conn_02x05_Odd_Even","J3","",""
"SDS011","J6","",""
"Conn_01x02_Female","J7 J8","",""
"SolderJumper_2_Open","JP1","",""
"SolderJumper_3_Open","JP2","",""
"33/1W","R1","",""
"mini_esp32","U1","",""
"AMS5919","U4","",""
"module_bme280","U5","",""
"RT9400","U6","",""
"HLK-PM01","U8","",""
"233-508","X1","",""
"233-503","X2","",""
"233-504","X3","",""
