Designator,Mid X,Mid Y,Layer,Rotation
R9,164.5mm,-90.25mm,bottom,0.0
R5,175.075mm,-129mm,bottom,180.0
R7,139mm,-105mm,bottom,90.0
U2,173mm,-89.35mm,bottom,90.0
C8,159.5mm,-67.5mm,bottom,90.0
C10,168.25mm,-94.25mm,bottom,0.0
C5,169mm,-75.9mm,bottom,-90.0
C4,163.5mm,-67.5mm,bottom,-90.0
R10,164.5mm,-92mm,bottom,0.0
R16,176.25mm,-104.25mm,bottom,0.0
C12,179.75mm,-86mm,bottom,0.0
R20,181.25mm,-89.5mm,bottom,0.0
R15,181.25mm,-91.25mm,bottom,180.0
L1,159.5mm,-88.5625mm,bottom,90.0
C11,179.75mm,-84.25mm,bottom,0.0
R13,164.5mm,-88.5mm,bottom,0.0
R2,162.5mm,-80.5mm,bottom,-90.0
U7,149.9661mm,-126.3486mm,bottom,180.0
U3,132mm,-105mm,bottom,270.0
C9,164.5mm,-83.25mm,bottom,180.0
C13,156.5mm,-88.5mm,bottom,90.0
R12,160.5mm,-62mm,bottom,-90.0
C3,153.25mm,-87.5mm,bottom,90.0
R17,181.25mm,-94.75mm,bottom,0.0
R18,181.25mm,-93mm,bottom,0.0
C6,166.25mm,-75.9mm,bottom,-90.0
R8,162.5mm,-62mm,bottom,-90.0
C7,161.48mm,-67.5mm,bottom,-90.0
R14,164.5mm,-85mm,bottom,180.0
R19,181.25mm,-87.75mm,bottom,0.0
R11,164.5mm,-86.75mm,bottom,0.0
R4,170.825mm,-129mm,bottom,0.0
R6,139mm,-108.5mm,bottom,90.0
